source_lang,translated
brought,trajo
seem,parecer
sort,clasificar
safe,a salvo
living,viviendo
children,niños
weren't,no estaban
leaving,dejando
front,parte delantera
shot,Disparo
loved,amado
asking,pidiendo
running,corriendo
clear,claro
figure,figura
hot,caliente
felt,sintió
six,seis
parents,padres
drink,bebida
absolutely,absolutamente
how's,Como es
daddy,Papito
sweet,dulce
alive,viva
Paul,Pablo
sense,sentido
meant,quiso decir
happens,sucede
David,David
special,especial
bet,apuesta
blood,sangre
ain't,no es
kidding,es una broma
lie,mentir
full,lleno
meeting,cita
dear,querido
coffee,café
seeing,viendo
sound,sonido
fault,culpa
water,agua
fuck,Mierda
ten,diez
women,mujeres
John or john,John o john
welcome,Bienvenido
buy,comprar
months,meses
hour,hora
speak,hablar
lady,señora
Jen,Jen
thinks,cree
Christmas,Navidad
body,cuerpo
order,pedido
outside,fuera de
hang,colgar
possible,posible
worse,peor
company,empresa
mistake,error
ooh,Oh
handle,resolver
spend,gastar
C.,C.
totally,totalmente
giving,donación
control,control
here's,Aquí está
marriage,matrimonio
realize,darse cuenta
D.,D.
power,poder
president,presidente
unless,a no ser que
sex,sexo
girls,chicas
send,enviar
needed,necesario
O. or o,O. o O
taken,tomado
died,murió
scared,asustado
picture,fotografía
talked,habló
Jake,Jake
Al,Alabama
ass,culo
hundred,centenar
changed,cambió
completely,completamente
explain,explicar
playing,jugando
certainly,ciertamente
sign,firmar
boys,Niños
relationship,relación
Michael,Miguel
loves,ama
fucking,maldito
hair,cabello
lying,mintiendo
choice,elección
anywhere,en cualquier sitio
secret,secreto
future,futuro
weird,extraño
luck,suerte
she'll,cascarón
Max or max.,Max o max.
Luis,Luis
turned,convertido
known,conocido
touch,tocar
kiss,Beso
Crane or crane,Grúa o grúa
questions,preguntas
obviously,obviamente
wonder,preguntarse
pain,dolor
calling,vocación
somewhere,algun lado
throw,lanzar
straight,derecho
Grace or grace,Gracia o gracia
cold,frío
white or White,blanco o blanco
fast,rápido
Natalie,Natalie
words,palabras
R.,R.
food,comida
none,ninguno
drive,conducir
feelings,sentimientos
they'll,Ellos
worked,trabajó
marry,casar
light,luz
test,prueba
drop,soltar
cannot,no poder
Frank,Franco
sent,enviado
city,ciudad
dream,sueño
protect,proteger
twenty,20
class,clase
Lucy,Lucy
surprise,sorpresa
its,su
sweetheart,cariño
forever,para siempre
poor,pobre
looked,miró
mad,enojado
except,excepto
gun,pistola
y'know,ya sabes
dance,danza
takes,acepta
appreciate,agradecer
especially,especialmente
situation,situación
besides,además
weeks,semanas
pull,jalar
himself,él mismo
hasn't,no tiene
act,actuar
worth,valer
Sheridan,Sheridan
amazing,increíble
top,cima
given,dado
expect,suponer
Ben,Ben
rather,bastante
Julian,Julian
involved,involucrado
swear,jurar
piece,pieza
busy,ocupado
law,ley
decided,decidido
black or Black,negro o negro
Joey,Joey
happening,sucediendo
movie,película
we'd,casarse
catch,captura
Antonio,Antonio
country,país
less,menos
perhaps,quizás
step,paso
fall,otoño
watching,mirando
kept,conservó
darling,querida
dog,perro
Ms.,Milisegundo.
win,ganar
air,aire
honor,honor
personal,personal
moving,Moviente
till,hasta
admit,admitir
problems,problemas
murder,asesinato
strong,fuerte
he'd,él
evil,maldad
definitely,definitivamente
feels,siente
information,información
honest,honesto
eye,ojo
broke,rompió
missed,omitido
longer,más extenso
dollars,dólares
tired,cansado
Jason,Jasón
George,Jorge
evening,noche
human,humano
starting,a partir de
Ross,Ross
red,rojo
entire,completo
trip,viaje
Brooke,Brooke
E.,MI.
club,club
Niles,Niles
suppose,suponer
calm,calma
imagine,imagina
Todd,Todd
fair,justa
caught,atrapó
B.,B.
blame,culpar
street,calle
sitting,sentado
favor,favor
apartment,Departamento
court,Corte
terrible,terrible
clean,limpio
Tony or tony,Tony o Tony
learn,aprender
Alison,Alisón
Rick,Almiar
works,obras
Rose or rose,Rosa o rosa
Frasier,Frasier
relax,relajarse
York,York
million,millón
charity,caridad
accident,accidente
wake,despertarse
prove,probar
Danny,Danny
smart,inteligente
message,mensaje
missing,desaparecido
forgot,olvidó
small,pequeña
interested,interesado
table,mesa
nbsp,nbsp
become,volverse
Craig,Craig
mouth,boca
pregnant,embarazada
middle,medio
Billy or billy,Billy o Billy
ring,anillo
careful,Cuidado
shall,deberá
dude,tipo
team,equipo
ride,paseo
figured,figurado
wear,vestir
shoot,disparo
stick,palo
Ray or ray,Rayo o rayo
follow,seguir
Bo,Bo
angry,enfadado
instead,en lugar de
buddy,compañero
write,escribir
stopped,interrumpido
early,temprano
Angel or angel,Ángel o ángel
Nick or nick,Nick o Nick
ran,corrió
war,guerra
standing,de pie
forgive,perdonar
jail,celda
wearing,vistiendo
Miguel,Miguel
ladies,señoras
kinda,un poco
lunch,comida
Cristian,Cristiano
eight,ocho
Greenlee,Greenlee
gotten,conseguido
hoping,esperando
Phoebe,Phoebe
thousand,mil
ridge,cresta
music,música
Luke,Lucero
paper,papel
tough,difícil
tape,cinta
Emily,Emily
state,estado
count,contar
college,Universidad
boyfriend,novio
proud,orgulloso
agree,de acuerdo
birthday,cumpleaños
bill,factura
seven,Siete
they've,ellos han
Timmy,Timmy
history,historia
share,Cuota
offer,oferta
hurry,apurarse
ow,Ay
feet,pies
wondering,preguntarse
simple,sencillo
decision,decisión
building,edificio
ones,unos
finish,terminar
voice,voz
herself,sí misma
Chris,Chris
would've,habría
list,lista
Kay,Kay
mess,desorden
deserve,merecer
evidence,evidencia
cute,lindo
Jerry,alemán
dress,vestido
Richard,Ricardo
interesting,interesante
Jesus,Jesús
James,Jaime
hotel,hotel
enjoy,disfrutar
Ryan,Ryan
Lindsay,Lindsay
quiet,tranquilo
concerned,preocupado
road,la carretera
Eve or eve,Eva o Eva
staying,quedarse
short,pequeño
M.,METRO.
beat,derrotar
sweetie,cariño
mention,mencionar
clothes,ropa
finished,finalizado
fell,cayó
neither,ninguno
mmm,mmm
fix,reparar
Victor or victor,Victor o Victor
respect,el respeto
spent,gastado
prison,prisión
attention,atención
holding,tenencia
calls,llamadas
near,cerca
surprised,sorprendido
bar,bar
Beth,Beth
pass,aprobar
keeping,acuerdo
gift,regalo
hadn't,no tenía
putting,poniendo
dark,oscuro
self,uno mismo
owe,deber
using,utilizando
Nora,Nora
ice,hielo
helping,Ayudar
bitch,perra
normal,normal
aunt,tía
lawyer,abogado
apart,aparte
certain,cierto
plans,planes
Jax,Jax
girlfriend,Novia
floor,suelo
whether,ya sea
everything's,todo es
present,regalo
earth,tierra
private,privado
Jessica,Jessica
box,caja
Dawson,Dawson
cover,cubrir
judge,juez
upstairs,piso de arriba
Alexis,Alexis
Shawn,Shawn
sake,motivo
mommy,mami
possibly,posiblemente
worst,peor
